USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      401   8.7  0.6 436966784  54512   ??  Ss   11:41AM  53:00.80 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
mdkaif            8895   5.3  4.5 1892580752 376496   ??  S     4:23PM   6:31.51 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Renderer).app/Contents/MacOS/Antigravity IDE Helper (Renderer) --type=renderer --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Antigravity IDE.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=14 --time-ticks-at-unix-epoch=-1788422431610743 --launch-time-ticks=10305482270 --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708999430457380 --vscode-window-config=vscode:5882b92d-e35e-475e-a126-c095d90b2999 --seatbelt-client=56
mdkaif             729   4.0  0.4 411795040  29936   ??  S    11:42AM   1:28.54 /opt/homebrew/opt/mongodb-community@7.0/bin/mongod --config /opt/homebrew/etc/mongod.conf
mdkaif             605   3.2  0.2 435342432  12944   ??  S    11:41AM   0:47.97 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
mdkaif             727   2.7  0.2 435366720  19840   ??  S    11:42AM   0:33.63 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
_mdnsresponder     415   2.2  0.1 435345936  11904   ??  Ss   11:41AM   1:23.28 /usr/sbin/mDNSResponder
mdkaif            3396   2.1  0.8 435998592  69904   ??  S     3:03PM   0:24.77 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
mdkaif             604   1.9  0.2 435373056  19552   ??  S    11:41AM   1:48.04 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
mdkaif             766   1.9  0.2 435559856  18912   ??  S    11:42AM   0:33.31 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
_driverkit         565   1.5  0.5 435309008  38464   ??  Ss   11:41AM   3:05.13 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000b45 com.apple.DriverKit-AppleBCMWLAN
mdkaif            6691   1.5  1.7 1892657216 141264   ??  S     3:45PM   1:27.02 /Applications/Antigravity IDE.app/Contents/MacOS/Electron
mdkaif             755   1.4  0.3 435421904  27488   ??  S    11:42AM   5:04.07 /usr/libexec/duetexpertd
mdkaif            3147   1.1  0.7 486141168  59712   ??  S     2:53PM   1:13.26 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --shared-files --metrics-shmem-handle=1752395122,r,16918541914648789647,8221827720077200585,524288 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=19
root               331   1.0  0.1 435312000   5008   ??  Ss   11:41AM   1:09.06 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
root               406   0.8  0.1 435355696  11888   ??  Ss   11:41AM   2:53.51 /usr/libexec/runningboardd
mdkaif            6701   0.7  0.7 469500672  57696   ??  S     3:45PM   1:58.31 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (GPU).app/Contents/MacOS/Antigravity IDE Helper (GPU) --type=gpu-process --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --gpu-preferences=SAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708988185955192 --seatbelt-client=33
mdkaif             610   0.7  0.5 435864320  44000   ??  S    11:41AM   3:45.97 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
mdkaif             648   0.6  0.4 441895392  36160   ??  S    11:41AM   1:10.80 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
mdkaif           11907   0.6  0.2 435343152  12816   ??  Ss   10:00PM   0:00.51 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
mdkaif            3893   0.4  0.6 1951228800  46928   ??  S     3:16PM   1:04.03 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/mdkaif/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,5831284076259689790,3015139822094789511,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,8849898554361464377,17773763198564390202,4 --trace-process-track-uuid=3190708990997080739
mdkaif            9801   0.3  1.1 486659008  91376   ??  S     9:22PM   0:37.58 /Applications/Brave Browser.app/Contents/MacOS/Brave Browser
root               396   0.2  0.1 435339184   6352   ??  Ss   11:41AM   0:32.63 /usr/libexec/corebrightnessd --launchd
mdkaif             704   0.2  0.1 435353280  11392   ??  S    11:42AM   0:04.90 /usr/libexec/rapportd
mdkaif            1001   0.2  0.1 435476752   8400   ??  S    11:42AM   0:13.67 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
root               327   0.2  0.1 435412368  12416   ??  Ss   11:41AM   1:08.38 /usr/libexec/logd
mdkaif            6791   0.1  0.3 437446368  29280   ??  S     3:45PM   0:36.76 /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm --csrf_token 2d26b910-28d9-4cac-b2b4-981e098cf42a --extension_server_port 51178 --extension_server_csrf_token 153e037d-688a-44c1-996a-332e756ef871 --app_data_dir antigravity-ide --subclient_type ide --cloud_code_endpoint https://cloudcode-pa.googleapis.com
mdkaif            1328   0.1  0.3 435697680  22688   ??  S    11:44AM   0:40.28 /Applications/speaktype.app/Contents/MacOS/speaktype
mdkaif             632   0.1  0.1 435342480   9968   ??  S    11:41AM   0:26.29 /usr/libexec/trustd --agent
mdkaif            3203   0.1  1.3 436450624 109248   ??  S     2:53PM   4:37.70 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp
mdkaif            2984   0.1  0.5 435946528  41408   ??  S     1:00PM  12:27.15 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
root               370   0.1  0.1 435342112   8016   ??  Ss   11:41AM   0:13.17 /System/Library/CoreServices/launchservicesd
mdkaif            6851   0.1  0.4 1892223360  33536   ??  S     3:45PM   0:19.50 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708997556373682
mdkaif             644   0.1  0.2 435403360  13104   ??  S    11:41AM   0:06.63 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
mdkaif             609   0.1  0.2 435403568  18480   ??  S    11:41AM   0:35.90 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
mdkaif            3811   0.1  0.5 1951683328  43312   ??  S     3:16PM   0:18.30 /Applications/Visual Studio Code.app/Contents/MacOS/Code
root             11886   0.0  0.1 435338528   4704   ??  Ss    9:58PM   0:00.08 /usr/libexec/findmybeaconingd
root             11885   0.0  0.0 435340256   3424   ??  Ss    9:58PM   0:00.04 /usr/libexec/sandboxd
_fpsd            11884   0.0  0.1 410297664   5424   ??  Ss    9:58PM   0:00.07 /System/Library/PrivateFrameworks/CoreADI.framework/adid
mdkaif           11883   0.0  0.1 435345664   7312   ??  S     9:58PM   0:00.20 /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
mdkaif           11882   0.0  0.1 435343568   6944   ??  S     9:58PM   0:00.19 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
mdkaif           11881   0.0  0.1 435359456  12544   ??  S     9:58PM   0:00.75 /usr/libexec/remindd
